check	observed	expected	status	evidence
release_sha256_EXACT_CONTRIBUTORS.tsv.gz	2881cd9f26643239c1792347f557ce74ab9a58c04dfc4cb0f1753c61158567e0	2881cd9f26643239c1792347f557ce74ab9a58c04dfc4cb0f1753c61158567e0	PASS	OUTPUT_MANIFEST.sha256.tsv
release_bytes_EXACT_CONTRIBUTORS.tsv.gz	1366591	1366591	PASS	OUTPUT_MANIFEST.sha256.tsv
release_sha256_GENOMEWIDE_SOURCE_ASSIGNMENTS.tsv.gz	1c026142fdc608399486e476c9218644bccde96e5bc830133d117cc53127e943	1c026142fdc608399486e476c9218644bccde96e5bc830133d117cc53127e943	PASS	OUTPUT_MANIFEST.sha256.tsv
release_bytes_GENOMEWIDE_SOURCE_ASSIGNMENTS.tsv.gz	9355912	9355912	PASS	OUTPUT_MANIFEST.sha256.tsv
release_sha256_GENOMEWIDE_SOURCE_MAP.tsv.gz	b4e5eac770afce707774c7f324cfb9cbd6eb4d59200ef82898e853fc454afffb	b4e5eac770afce707774c7f324cfb9cbd6eb4d59200ef82898e853fc454afffb	PASS	OUTPUT_MANIFEST.sha256.tsv
release_bytes_GENOMEWIDE_SOURCE_MAP.tsv.gz	9360422	9360422	PASS	OUTPUT_MANIFEST.sha256.tsv
release_sha256_GENOMEWIDE_SOURCE_MAP_REPORT.md	5dfe803c9ac493773c8cf861399ebd83537053222bd8a4dad25010f5c450a456	5dfe803c9ac493773c8cf861399ebd83537053222bd8a4dad25010f5c450a456	PASS	OUTPUT_MANIFEST.sha256.tsv
release_bytes_GENOMEWIDE_SOURCE_MAP_REPORT.md	3576	3576	PASS	OUTPUT_MANIFEST.sha256.tsv
release_sha256_GENOMEWIDE_SOURCE_MAP_VALIDATION.json	a9aa865f8d977a4c36d71df3693ae0d5925b54c94d2fb69685a2acebb628793e	a9aa865f8d977a4c36d71df3693ae0d5925b54c94d2fb69685a2acebb628793e	PASS	OUTPUT_MANIFEST.sha256.tsv
release_bytes_GENOMEWIDE_SOURCE_MAP_VALIDATION.json	3461	3461	PASS	OUTPUT_MANIFEST.sha256.tsv
release_sha256_INPUT_MANIFEST.tsv	0ebc68c2f9a3969fbe985e9e2486da55c2b77a5f0a21bcc64d8d0059dbb22404	0ebc68c2f9a3969fbe985e9e2486da55c2b77a5f0a21bcc64d8d0059dbb22404	PASS	OUTPUT_MANIFEST.sha256.tsv
release_bytes_INPUT_MANIFEST.tsv	3832	3832	PASS	OUTPUT_MANIFEST.sha256.tsv
release_sha256_MAPPING_COVERAGE.tsv	8353f7561ba23ef09ecef9f7dc516514aaaba46db9d668f2eb3522b034a482c8	8353f7561ba23ef09ecef9f7dc516514aaaba46db9d668f2eb3522b034a482c8	PASS	OUTPUT_MANIFEST.sha256.tsv
release_bytes_MAPPING_COVERAGE.tsv	329	329	PASS	OUTPUT_MANIFEST.sha256.tsv
release_sha256_NAMED_COHORT_AUDIT.tsv	fb853f59dc75c084b45ed532cedef7b944126b74e5559b6c15a627c64b739759	fb853f59dc75c084b45ed532cedef7b944126b74e5559b6c15a627c64b739759	PASS	OUTPUT_MANIFEST.sha256.tsv
release_bytes_NAMED_COHORT_AUDIT.tsv	675	675	PASS	OUTPUT_MANIFEST.sha256.tsv
release_sha256_NAMED_COHORT_TERM_BURDENS.tsv.gz	698007fd0928c091e92ba680a17be0a1e3ba08492c2477fcd2dfabc5faef2aa0	698007fd0928c091e92ba680a17be0a1e3ba08492c2477fcd2dfabc5faef2aa0	PASS	OUTPUT_MANIFEST.sha256.tsv
release_bytes_NAMED_COHORT_TERM_BURDENS.tsv.gz	12295	12295	PASS	OUTPUT_MANIFEST.sha256.tsv
release_sha256_PHYSICAL_COPY_TERM_EDGES.tsv.gz	b6c03aed0066f40575da96dc1aa047088a637a8efd26d2dd84e1460cc2d1b0c0	b6c03aed0066f40575da96dc1aa047088a637a8efd26d2dd84e1460cc2d1b0c0	PASS	OUTPUT_MANIFEST.sha256.tsv
release_bytes_PHYSICAL_COPY_TERM_EDGES.tsv.gz	46221785	46221785	PASS	OUTPUT_MANIFEST.sha256.tsv
release_sha256_SOURCE_ASSIGNMENT_FREEZE.sha256.tsv	af2798daafcaf5f75a5a97ba4cb2c48316f4049bc662d610fe9c380140f33ee0	af2798daafcaf5f75a5a97ba4cb2c48316f4049bc662d610fe9c380140f33ee0	PASS	OUTPUT_MANIFEST.sha256.tsv
release_bytes_SOURCE_ASSIGNMENT_FREEZE.sha256.tsv	556	556	PASS	OUTPUT_MANIFEST.sha256.tsv
release_sha256_SOURCE_TERMS.tsv.gz	5f980e84e867114d20e27d4aa298ea623b555de25be7a839c3ace7cba630d4b9	5f980e84e867114d20e27d4aa298ea623b555de25be7a839c3ace7cba630d4b9	PASS	OUTPUT_MANIFEST.sha256.tsv
release_bytes_SOURCE_TERMS.tsv.gz	27990797	27990797	PASS	OUTPUT_MANIFEST.sha256.tsv
release_sha256_TERM_BURDENS.tsv.gz	4af1f1517326a9892ed99d935db9a6837f879f9ec98551c0e00a5a49d3a4633e	4af1f1517326a9892ed99d935db9a6837f879f9ec98551c0e00a5a49d3a4633e	PASS	OUTPUT_MANIFEST.sha256.tsv
release_bytes_TERM_BURDENS.tsv.gz	15719615	15719615	PASS	OUTPUT_MANIFEST.sha256.tsv
release_sha256_build_genomewide_source_map.py	5d15bfa43779f239e6ce13f3391135122270ad48c87141cf611248eb787c3e06	5d15bfa43779f239e6ce13f3391135122270ad48c87141cf611248eb787c3e06	PASS	OUTPUT_MANIFEST.sha256.tsv
release_bytes_build_genomewide_source_map.py	61604	61604	PASS	OUTPUT_MANIFEST.sha256.tsv
release_sha256_check_genomewide_source_map.py	2819fcda316922e150a237f469de5e485a753501348a5163c88419928c1aab2d	2819fcda316922e150a237f469de5e485a753501348a5163c88419928c1aab2d	PASS	OUTPUT_MANIFEST.sha256.tsv
release_bytes_check_genomewide_source_map.py	17911	17911	PASS	OUTPUT_MANIFEST.sha256.tsv
release_sha256_test_genomewide_source_map.py	57d471fd876b407929196883d24e2c265801217cb8b5d651f731fe5fe7676ecb	57d471fd876b407929196883d24e2c265801217cb8b5d651f731fe5fe7676ecb	PASS	OUTPUT_MANIFEST.sha256.tsv
release_bytes_test_genomewide_source_map.py	5207	5207	PASS	OUTPUT_MANIFEST.sha256.tsv
production_builder_imported	false	false	PASS	standalone parser and reconstruction; no production module import
enrichment_run	false	false	PASS	gate writes mapping evidence only
