source_key	path	contents	coordinate_system	status_for_v3	use_for_renderer	stale_or_usage_risk
or4f_per_gene	/moosefs/guarracino/HPRCv2/PHR_III/plots/or4f_per_gene.csv	OR4F gene-level counts across arms/samples	Gene summary; no coordinates	Canonical OR4F family summary	Use to prioritize OR4F labels	Coordinates still come from GFF.
il9r_distribution	/moosefs/guarracino/HPRCv2/PHR_III/plots/il9r_distribution.csv	IL9R/IL9RP counts by arm	Gene and arm summary; no coordinates	Canonical IL9R marker summary	Use for chr9q/IL9RP1 callout	Coordinates still come from GFF.
tar1_by_arm	/moosefs/guarracino/HPRCv2/PHR_III/enrichment/community_tar1_by_arm.tsv	TAR1 prevalence, mean count, and mean length by community and arm	Community and arm summary; no per-feature coordinates	Canonical TAR1 prevalence summary	Use for TAR1 labels and target selection	Not a repeat interval file.
tar1_positional	/moosefs/guarracino/HPRCv2/PHR_III/enrichment/tar1_positional/tar1_positional_per_arm.tsv; /moosefs/guarracino/HPRCv2/PHR_III/enrichment/tar1_positional/tar1_positional_overall.tsv	TAR1 distance-from-telomere summaries	Arm summary, distances in kb	Canonical TAR1 positional summary	Use for labels and rationale	Use RepeatMasker/RDS extraction for actual TAR1 blocks.
community_gene_enrichment	/moosefs/guarracino/HPRCv2/PHR_III/enrichment/community_gene_enrichment.tsv	Gene-by-community presence, arm counts, sample counts, biotype	Community and arm summary; no coordinates	Canonical gene enrichment table, mtime observed 2026-03-28	Use for target selection and gene-family labels	Fisher significance is not encoded here; pair with community_enrichment_fisher.tsv for caveats.
community_gene_families	/moosefs/guarracino/HPRCv2/PHR_III/enrichment/community_gene_families.tsv	Gene-family rollups by community	Community summary; no coordinates	Canonical qualitative gene-family table	Use for family badges and community context	Family grouping is summary-level, not interval-level.
community_fisher	/moosefs/guarracino/HPRCv2/PHR_III/enrichment/community_enrichment_fisher.tsv	Community-family Fisher tests with BH correction	Community summary; no coordinates	Canonical statistical caveat table	Use for subtitle/caveat labels	Rows observed in prior notes have significant=FALSE; do not claim BH-significant OR-family enrichment.
community_summary	/moosefs/guarracino/HPRCv2/PHR_III/enrichment/community_summary_table.tsv	Community-level arms, gene counts, top families, interpretation	Community summary; no coordinates	Canonical compact narrative lookup	Use for target rationale and panel subtitles	Not an interval source.
slide14_generator	slides/v2/slide_14_gene_biology.R	Committed three-panel DUX4/OR4F/TAR1 slide 14 generator	Reads HPRCv2 summary tables; no new coordinates	Best committed slide-level source for old slide 14 summary	Use for provenance and metric sanity checks	It summarizes by arm and should not be reused as the browser renderer.
slide14_current_crops	slides/v2-review-zoom/_typst/assets/s14_dux4.png; slides/v2-review-zoom/_typst/assets/s14_or4f.png; slides/v2-review-zoom/_typst/assets/s14_tar1.png	Cropped current review-zoom slide 14 assets	Image pixels only	Noncanonical crop caches	Do not use for the browser data renderer	Git provenance shows these are copied agent-878 crops with no committed crop geometry.
parked_copy_number_tables	paper_prep/_brainstorming/gene_copy_summary.csv; paper_prep/_brainstorming/EXECUTIVE_SUMMARY.md	Older copy-number-aware enrichment narrative and tables	Mixed summaries	Noncanonical historical context after park-off-target commit c50b99c	Reference only for historical rationale	Do not let these parked outputs override HPRCv2 PHR_III enrichment tables.
ed4_figure_sources	paper_prep/figures/ed4/caption.md; paper_prep/figures/ed4/figure_ed4.R	Manuscript ED4 annotation/gene-family figure and caption	Reads HPRCv2 and repo files	Useful reference, not primary renderer input	Use caption for wording and OR4F metric cross-checks	Previous notes flag a stale absolute REPO_ROOT in figure_ed4.R; inspect before rerunning.
git_provenance	slides/v2-review-zoom/_revision_assets/git_provenance/README.md	Deck asset lineage and stale-path audit	Documentation only	Required upstream provenance note	Use for stale-path decisions	Does not contain interval coordinates.
