method_id	method_family	method_label	comparison_id	comparison_label	fastga_frequency	chop_length_bp	filter_id	chunk_mode	scoring	input_path	input_exists	input_rows	status
sweepga_fastga_f32_l10000_PAN027mat_vs_PAN010_joint	sweepga_fastga_f32	SweepGA/FastGA f32	PAN027mat_vs_PAN010_joint	PAN027mat_vs_PAN010	32	10000	one_to_one_ani_o0	query-grid	ani	/moosefs/erikg/phrs/.wg-worktrees/agent-2727/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency32/filtered_paf_chop_sensitivity_query_grid/l10000/PAN027mat_vs_PAN010_joint.one_to_one_ani_o0.chopped_l10000_o0_query_grid.paf.gz	True	300520	OK
sweepga_fastga_f32_l5000_PAN027mat_vs_PAN010_joint	sweepga_fastga_f32	SweepGA/FastGA f32	PAN027mat_vs_PAN010_joint	PAN027mat_vs_PAN010	32	5000	one_to_one_ani_o0	query-grid	ani	/moosefs/erikg/phrs/.wg-worktrees/agent-2727/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency32/filtered_paf_chop_sensitivity_query_grid/l5000/PAN027mat_vs_PAN010_joint.one_to_one_ani_o0.chopped_l5000_o0_query_grid.paf.gz	True	600807	OK
sweepga_fastga_f32_l2000_PAN027mat_vs_PAN010_joint	sweepga_fastga_f32	SweepGA/FastGA f32	PAN027mat_vs_PAN010_joint	PAN027mat_vs_PAN010	32	2000	one_to_one_ani_o0	query-grid	ani	/moosefs/erikg/phrs/.wg-worktrees/agent-2727/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency32/filtered_paf_chop_sensitivity_query_grid/l2000/PAN027mat_vs_PAN010_joint.one_to_one_ani_o0.chopped_l2000_o0_query_grid.paf.gz	True	1498953	OK
sweepga_fastga_f32_l10000_PAN028mat_vs_PAN027_joint	sweepga_fastga_f32	SweepGA/FastGA f32	PAN028mat_vs_PAN027_joint	PAN028mat_vs_PAN027	32	10000	one_to_one_ani_o0	query-grid	ani	/moosefs/erikg/phrs/.wg-worktrees/agent-2727/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency32/filtered_paf_chop_sensitivity_query_grid/l10000/PAN028mat_vs_PAN027_joint.one_to_one_ani_o0.chopped_l10000_o0_query_grid.paf.gz	True	292906	OK
sweepga_fastga_f32_l5000_PAN028mat_vs_PAN027_joint	sweepga_fastga_f32	SweepGA/FastGA f32	PAN028mat_vs_PAN027_joint	PAN028mat_vs_PAN027	32	5000	one_to_one_ani_o0	query-grid	ani	/moosefs/erikg/phrs/.wg-worktrees/agent-2727/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency32/filtered_paf_chop_sensitivity_query_grid/l5000/PAN028mat_vs_PAN027_joint.one_to_one_ani_o0.chopped_l5000_o0_query_grid.paf.gz	True	584819	OK
sweepga_fastga_f32_l2000_PAN028mat_vs_PAN027_joint	sweepga_fastga_f32	SweepGA/FastGA f32	PAN028mat_vs_PAN027_joint	PAN028mat_vs_PAN027	32	2000	one_to_one_ani_o0	query-grid	ani	/moosefs/erikg/phrs/.wg-worktrees/agent-2727/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency32/filtered_paf_chop_sensitivity_query_grid/l2000/PAN028mat_vs_PAN027_joint.one_to_one_ani_o0.chopped_l2000_o0_query_grid.paf.gz	True	1459995	OK
wfmash_p95_l10000_PAN027mat_vs_PAN010_joint	wfmash_p95_updated_bin	wfmash -p95 updated bin	PAN027mat_vs_PAN010_joint	PAN027mat_vs_PAN010	NA	10000	one_to_one_ani_o0	query-grid	ani	/moosefs/erikg/phrs/.wg-worktrees/agent-2719/paper_prep/_brainstorming/pedigree_whole_genome_wfmash_p95_updated_bin/query_grid_filter/filtered_paf_qgrid_l10000_o0/PAN027mat_vs_PAN010_joint.one_to_one_ani_o0.chopped_l10000_o0_query_grid.paf.gz	True	308869	OK
wfmash_p95_l2000_PAN027mat_vs_PAN010_joint	wfmash_p95_updated_bin	wfmash -p95 updated bin	PAN027mat_vs_PAN010_joint	PAN027mat_vs_PAN010	NA	2000	one_to_one_ani_o0	query-grid	ani	/moosefs/erikg/phrs/.wg-worktrees/agent-2719/paper_prep/_brainstorming/pedigree_whole_genome_wfmash_p95_updated_bin/query_grid_filter/filtered_paf_qgrid_l2000_o0/PAN027mat_vs_PAN010_joint.one_to_one_ani_o0.chopped_l2000_o0_query_grid.paf.gz	True	1505702	OK
wfmash_p95_l5000_PAN027mat_vs_PAN010_joint	wfmash_p95_updated_bin	wfmash -p95 updated bin	PAN027mat_vs_PAN010_joint	PAN027mat_vs_PAN010	NA	5000	one_to_one_ani_o0	query-grid	ani	/moosefs/erikg/phrs/.wg-worktrees/agent-2719/paper_prep/_brainstorming/pedigree_whole_genome_wfmash_p95_updated_bin/query_grid_filter/filtered_paf_qgrid_l5000_o0/PAN027mat_vs_PAN010_joint.one_to_one_ani_o0.chopped_l5000_o0_query_grid.paf.gz	True	608205	OK
wfmash_p95_l10000_PAN027pat_vs_PAN011_joint	wfmash_p95_updated_bin	wfmash -p95 updated bin	PAN027pat_vs_PAN011_joint	PAN027pat_vs_PAN011	NA	10000	one_to_one_ani_o0	query-grid	ani	/moosefs/erikg/phrs/.wg-worktrees/agent-2719/paper_prep/_brainstorming/pedigree_whole_genome_wfmash_p95_updated_bin/query_grid_filter/filtered_paf_qgrid_l10000_o0/PAN027pat_vs_PAN011_joint.one_to_one_ani_o0.chopped_l10000_o0_query_grid.paf.gz	True	310738	OK
wfmash_p95_l2000_PAN027pat_vs_PAN011_joint	wfmash_p95_updated_bin	wfmash -p95 updated bin	PAN027pat_vs_PAN011_joint	PAN027pat_vs_PAN011	NA	2000	one_to_one_ani_o0	query-grid	ani	/moosefs/erikg/phrs/.wg-worktrees/agent-2719/paper_prep/_brainstorming/pedigree_whole_genome_wfmash_p95_updated_bin/query_grid_filter/filtered_paf_qgrid_l2000_o0/PAN027pat_vs_PAN011_joint.one_to_one_ani_o0.chopped_l2000_o0_query_grid.paf.gz	True	1507938	OK
wfmash_p95_l5000_PAN027pat_vs_PAN011_joint	wfmash_p95_updated_bin	wfmash -p95 updated bin	PAN027pat_vs_PAN011_joint	PAN027pat_vs_PAN011	NA	5000	one_to_one_ani_o0	query-grid	ani	/moosefs/erikg/phrs/.wg-worktrees/agent-2719/paper_prep/_brainstorming/pedigree_whole_genome_wfmash_p95_updated_bin/query_grid_filter/filtered_paf_qgrid_l5000_o0/PAN027pat_vs_PAN011_joint.one_to_one_ani_o0.chopped_l5000_o0_query_grid.paf.gz	True	610039	OK
wfmash_p95_l10000_PAN028mat_vs_PAN027_joint	wfmash_p95_updated_bin	wfmash -p95 updated bin	PAN028mat_vs_PAN027_joint	PAN028mat_vs_PAN027	NA	10000	one_to_one_ani_o0	query-grid	ani	/moosefs/erikg/phrs/.wg-worktrees/agent-2719/paper_prep/_brainstorming/pedigree_whole_genome_wfmash_p95_updated_bin/query_grid_filter/filtered_paf_qgrid_l10000_o0/PAN028mat_vs_PAN027_joint.one_to_one_ani_o0.chopped_l10000_o0_query_grid.paf.gz	True	302507	OK
wfmash_p95_l2000_PAN028mat_vs_PAN027_joint	wfmash_p95_updated_bin	wfmash -p95 updated bin	PAN028mat_vs_PAN027_joint	PAN028mat_vs_PAN027	NA	2000	one_to_one_ani_o0	query-grid	ani	/moosefs/erikg/phrs/.wg-worktrees/agent-2719/paper_prep/_brainstorming/pedigree_whole_genome_wfmash_p95_updated_bin/query_grid_filter/filtered_paf_qgrid_l2000_o0/PAN028mat_vs_PAN027_joint.one_to_one_ani_o0.chopped_l2000_o0_query_grid.paf.gz	True	1474266	OK
wfmash_p95_l5000_PAN028mat_vs_PAN027_joint	wfmash_p95_updated_bin	wfmash -p95 updated bin	PAN028mat_vs_PAN027_joint	PAN028mat_vs_PAN027	NA	5000	one_to_one_ani_o0	query-grid	ani	/moosefs/erikg/phrs/.wg-worktrees/agent-2719/paper_prep/_brainstorming/pedigree_whole_genome_wfmash_p95_updated_bin/query_grid_filter/filtered_paf_qgrid_l5000_o0/PAN028mat_vs_PAN027_joint.one_to_one_ani_o0.chopped_l5000_o0_query_grid.paf.gz	True	595174	OK
